Adm1code,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm3code,adm3_en,adm3_fr,Institution name,Catégorie,Institution_Type,Institution_Code,LatDD,LongDD
,#adm1+name+fr,#adm1+tname+ht,#adm2+code,#adm2+name+en,#adm2+name+fr,#adm3+code,#adm3+name+en,#adm3+name+fr,#loc+name,#loc+id,#loc+type,#loc+code,#lat,#long
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de Santé Snelak,Dispensaire,Privé à but lucratif,111607,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de psychiatrie Mars & Kline,HCR,Public,111616,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Hôpital St. François de Salle,CSL,Privé à but lucratif,111618,"18,537777","-72,344001"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,CSL SODEC,CAL,Privé à but lucratif,111619,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,PROFAMIL 2,CSL,Privé à but non lucratif,111620,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre médico-social/FHSM,CSL,Public,111831,,
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de santé Martissant,CAL,Privé à but lucratif,111832,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de santé Caravelle,CSL,Mixte,111633,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de Santé Bethesda,CSL,Privé à but non lucratif,111638,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Hôpital Sapiens,CAL,Privé à but non lucratif,111642,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,CEMEAH,CSL,Privé à but lucratif,111650,,
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,CS de St Jude,CSL,Mixte,111851,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,CS Communautaire Cité de l’Eternel,CSL,Privé à but lucratif,111852,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de Santé St Michel,CSL,Privé à but lucratif,111840,"18,530584","-72,366871"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de Santé Communautaire,CSL,Mixte,111660,"18,524258","-72,343973"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Mission de Charité Cœur Immaculé,CAL,Mixte,111661,,
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,CS Evangélique de Siloé,CSL,Privé à but lucratif,111662,,
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre de santé des Prés,CSL,Privé à but lucratif,111626,"18,525922","-72,335068"
HT01,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince,HT0111-01,1re Section Turgeau,1re Section Turgeau,Centre Médico-Social de P-au-P,CSL,Privé à but non lucratif,111663,,
