Name,Type,Category,Country,lat,lon,geocode,Département
HOPITAL LA PROVIDENCE,node,hospital,HT,19.450206,-72.685424,"19.450206 , -72.685424",Artibonite
Le Sourire,node,hospital,HT,18.5087003,-72.6302745,"18.5087003 , -72.6302745",Ouest
"Dispensaire ""N.D. des Malades""",node,hospital,HT,18.1919778,-73.7448006,"18.1919778 , -73.7448006",Sud
French Hospital,node,hospital,HT,18.5406142,-72.3163221,"18.5406142 , -72.3163221",Ouest
Help Hospital,node,hospital,HT,18.5059105,-72.6250088,"18.5059105 , -72.6250088",Ouest
Croix-Rouge,node,hospital,HT,19.6653281,-71.8393163,"19.6653281 , -71.8393163",Nord-Est
Orthopedic clinic,node,hospital,HT,18.5933987,-72.2778834,"18.5933987 , -72.2778834",Ouest
Universal Medical Centre,node,hospital,HT,19.5514818,-71.7248407,"19.5514818 , -71.7248407",Nord-Est
Hôpital de l'Ofatma (Cité Militaire),node,hospital,HT,18.5440483,-72.3362825,"18.5440483 , -72.3362825",Ouest
Clinique de la Sante,node,hospital,HT,18.5443022,-72.3255801,"18.5443022 , -72.3255801",Ouest
Citymed Petion-Ville,node,hospital,HT,18.513256,-72.2856666,"18.513256 , -72.2856666",Ouest
Maternité de Christ Roi,node,hospital,HT,18.5429383,-72.318955,"18.5429383 , -72.318955",Ouest
Centre Materno-Chirurgical,node,hospital,HT,18.5372333,-72.3192505,"18.5372333 , -72.3192505",Ouest
Clinic de Reference,node,hospital,HT,19.8332992,-72.933299,"19.8332992 , -72.933299",Nord-Ouest
Complexe Materno-Medico,node,hospital,HT,18.4338667,-72.8602367,"18.4338667 , -72.8602367",Ouest
Sante Pep La,node,hospital,HT,18.4287774,-72.8577771,"18.4287774 , -72.8577771",Ouest
PIGNON HOSPITAL LA JEUNE,node,hospital,HT,19.333333,-72.116666,"19.333333 , -72.116666",Nord
Rehabilitation de l'Hopital,node,hospital,HT,18.4333781,-72.8648528,"18.4333781 , -72.8648528",Ouest
Hospital Grande Rivière du Nord,node,hospital,HT,18.5525232,-72.3058531,"18.5525232 , -72.3058531",Ouest
Hôpital Raboteau,node,hospital,HT,18.5650394,-72.3192374,"18.5650394 , -72.3192374",Ouest
