Département,Chef-Lieu ou Capitale,Superficie (km²),adm0code,Population,Density/km²,address,lat,lon,clinic,doctors,hospital,pharmacy
Artibonite,Les Gonaïves,4984,HT,2047152,412,"Les Gonaïves, Arrondissement des Gonaïves, Département de l'Artibonite, 4110HT_BETON_CENTRE VILLE, Haiti",19.4460597,-72.6884336,10.0,17.0,184.0,81.0
Centre,Hinche,3675,HT,845594,231,"Hinche, Arrondissement de Hinche, Département du Centre, 5110, Haiti",19.1445541,-72.0087527,0.0,0.0,73.0,21.0
Grande'Anse,Jérémie,1871,HT,481065,258,"Jérémie, Arrondissement de Jérémie, Département de la Grande-Anse, Haiti",18.6445835,-74.1139182,4.0,0.0,64.0,7.0
Nippes,Miragoâne,1268,HT,351593,278,"Miragoâne, Arrondissement de Miragoâne, Département des Nippes, Haiti",18.4448425,-73.0886392,1.0,0.0,38.0,0.0
Nord,Cap-Haïtien,2106,HT,1159761,552,"Cap-Haïtien, Arrondissement de Cap-Haïtien, Département du Nord, 1113, Haiti",19.7595236,-72.2008068,30.0,7.0,107.0,45.0
Nord-Est,Fort-Liberté,1805,HT,444463,247,"Fort-Liberté, Arrondissement de Fort-Liberté, Département du Nord-Est, HT, Haiti",19.6635608,-71.8367046,23.0,0.0,55.0,56.0
Nord-Ouest,Port-de-Paix,2176,HT,868580,400,"Port-de-Paix, Arrondissement Port-de-Paix, Département du Nord-Ouest, MORNE AUX PERES, Haiti",19.9389855,-72.8308129,2.0,0.0,89.0,5.0
Ouest,Port-au-Prince,4827,HT,5010205,1039,"Port-au-Prince, Arrondissement de Port-au-Prince, Département de l'Ouest, BP98, Haiti",18.547327,-72.3395928,74.0,32.0,415.0,273.0
Sud,Les Cayes,2794,HT,791084,284,"Commune Les Cayes, Arrondissement des Cayes, Département du Sud, Haiti",18.1944428,-73.7511601,3.0,9.0,111.0,62.0
Sud-Est,Jacmel,2023,HT,893900,443,"Jacmel, Arrondissement de Jacmel, Département du Sud-Est, Haiti",18.2352587,-72.5375127,1.0,1.0,78.0,24.0
