Name,Type,Category,Country,lat,lon,test
Centro Clinico Dr. Polanco,node,doctors,DO,19.3052143,-69.5485134,19.3052143 / -69.5485134
Cruz Roja Dominicana,node,doctors,DO,19.3155857,-71.6929207,19.3155857 / -71.6929207
unknown name,node,doctors,DO,18.6870414,-68.4177832,18.6870414 / -68.4177832
Servimed,node,doctors,DO,19.7496564,-70.4080355,19.7496564 / -70.4080355
Instituto Oftalmológico,node,doctors,DO,19.4556638,-70.6849063,19.4556638 / -70.6849063
unknown name,node,doctors,DO,18.4717668,-69.8893283,18.4717668 / -69.8893283
Sociedad Dominicana de Gastroenterologia,node,doctors,DO,18.4695495,-69.9021698,18.4695495 / -69.9021698
Clinica Dr. Mojica Peña,node,doctors,DO,18.4792256,-69.8902238,18.4792256 / -69.8902238
Centro Dermatologico Buena Vista,node,doctors,DO,18.5297921,-69.9053751,18.5297921 / -69.9053751
Sonografia,node,doctors,DO,18.5514994,-69.9006391,18.5514994 / -69.9006391
Orthomedical del Cibao,node,doctors,DO,19.4543749,-70.6993457,19.4543749 / -70.6993457
Centro Dermatológico Dra. Roxanna Rodríguez,node,doctors,DO,19.4592407,-70.6982556,19.4592407 / -70.6982556
Sonorad Sonografia,node,doctors,DO,19.4529802,-70.7065188,19.4529802 / -70.7065188
Salud Bucal,node,doctors,DO,18.4209766,-70.1143844,18.4209766 / -70.1143844
Dr. Julio César Lazala,node,doctors,DO,19.4451131,-70.6715091,19.4451131 / -70.6715091
Salud Integral Rodriquez Mendoza,node,doctors,DO,19.4263669,-70.6851388,19.4263669 / -70.6851388
Medica GBC,node,doctors,DO,18.4491063,-69.9679631,18.4491063 / -69.9679631
Sonografia Dr. Mateo,node,doctors,DO,18.5098755,-69.8675606,18.5098755 / -69.8675606
Centro Medico Antillano,node,doctors,DO,18.4547381,-69.926108,18.4547381 / -69.926108
Medicar GBC,node,doctors,DO,18.4347665,-69.9591625,18.4347665 / -69.9591625
Clinica Dr McKinney Sonografia,node,doctors,DO,18.4349026,-69.959569,18.4349026 / -69.959569
Medicar GBC,node,doctors,DO,18.4841306,-69.9251242,18.4841306 / -69.9251242
Dr. Elvin Peralta,node,doctors,DO,19.2225157,-70.5330179,19.2225157 / -70.5330179
Dr. Agustin Burgos,node,doctors,DO,19.2204725,-70.5232925,19.2204725 / -70.5232925
Dermistetic,node,doctors,DO,18.4929494,-69.8698371,18.4929494 / -69.8698371
Clínica Montesino,node,doctors,DO,19.5845137,-70.9849571,19.5845137 / -70.9849571
Dr. Rosario Bautista,node,doctors,DO,18.5408735,-69.9054939,18.5408735 / -69.9054939
CRESA,node,doctors,DO,19.4659694,-70.6897761,19.4659694 / -70.6897761
Laboratorio beato,node,doctors,DO,18.4563333,-69.6973471,18.4563333 / -69.6973471
laboratorio patria Rivas,node,doctors,DO,18.448019,-69.9612998,18.448019 / -69.9612998
Centro Médico de Atención Primaria,node,doctors,DO,18.8163469,-71.2284129,18.8163469 / -71.2284129
Centro de Bienestar Emocional Dr. Zoilo García,node,doctors,DO,19.4617926,-70.6930954,19.4617926 / -70.6930954
Laboratorio VANTER,node,doctors,DO,18.4600683,-69.9368789,18.4600683 / -69.9368789
